기관ID,주소,병원분류명,응급실운영여부(T/F),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,평일진료시간,토요일진료시간,일요일진료시간,공휴일진료시간,병원경도,병원위도,진료과
A1101850,"서울특별시 송파구 석촌호수로 142, 3층 (삼전동)",의원,F,점심시간 오후1시~2시,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",현대벤처빌 402호,다나마취통증의학과의원,02-418-7501,02-490-2113,09:30~18:00,09:30~12:00,10:00~13:00,10:00~13:00,127.0948207,37.50677783,내과
A1120000,"서울특별시 광진구 면목로 116, 2층 (중곡동)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",현대벤처빌 402호,다나마취통증의학과의원,02-436-5885,02-490-2113,09:00~21:00,09:00~13:00,10:00~13:00,10:00~13:00,127.080267,37.56383817,내과
A1101181,"서울특별시 강동구 상암로 44, 5층 (천호동)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",암사역 2번출구,다나마취통증의학과의원,02-475-3399,02-490-2113,09:00~19:00,09:00~15:00,10:00~13:00,10:00~13:00,127.1283258,37.549678,내과
A1119017,"서울특별시 강남구 강남대로 606, 삼주빌딩 10, 12층 (논현동)",의원,F,점심시간 12:30~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",신사역 3번 출구,다나성형외과의원,02-512-0922,02-490-2113,10:00~19:00,10:00~17:00,10:00~13:00,10:00~13:00,127.0201568,37.51586927,피부과
A1121274,"서울특별시 강남구 선릉로 641 (논현동, 204호)",의원,F,"평일 야간, 주말 방문 시 전화확인 요망 / 점심시간 13:00~14:00","잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",6호선 약수역 8번 출구,다나아의원,02-547-7100,02-490-2113,09:00~22:00,09:00~19:00,09:00~19:00,09:00~19:00,127.0422897,37.51375507,"내과,안과,이비인후과,정형외과,피부과"
A1116273,"서울특별시 강남구 선릉로 641 (논현동, 204호)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",6호선 약수역 8번 출구,다나아이비인후과의원,02-547-7100,02-490-2113,09:00~20:00,09:00~18:00,09:00~17:00,10:00~17:00,127.0422897,37.51375507,"내과,안과,이비인후과,정형외과,피부과"
A1105985,"서울특별시 금천구 시흥대로 399, 시티렉스 202,203,204호 (독산동)",의원,F,점심시간 12:30 ~ 2:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",홈플러스금천점 옆,다나은마취통증의학과의원,02-892-7100,02-490-2113,10:00~19:00,09:00~15:00,09:00~17:00,10:00~17:00,126.8971744,37.46927338,정형외과
A1119471,"서울특별시 강서구 강서로 391, 2,4,5,6층 (마곡동, 문영비즈웍스)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",발산역 2번 출구,다나은신경외과의원,02-3662-7588,02-490-2113,09:00~17:30,09:00~14:00,09:00~17:00,10:00~17:00,126.8384273,37.56054375,가정의학과
A1123581,"서울특별시 광진구 군자로 70, 동일흥업주식회사 나동 301~305호 (군자동)",의원,F,2.4주 토요일 휴진입니다.,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",발산역 2번 출구,다나을신경외과의원,02-465-9898,02-490-2113,09:00~18:30,09:00~13:30,09:00~17:00,10:00~17:00,127.0708616,37.54906045,정형외과
A1104525,"서울특별시 송파구 오금로 507, 5층 (거여동)",의원,F,1시간 전 접수마감,x-ray/봉합/상처소독/물리치료/,거여역 4번출구 인근,노바피부과의원,02-449-2430,02-2260-7414,09:30~18:00,09:00~13:00,09:00~17:00,09:30~14:00,127.1451811,37.49326001,피부과
A1104159,"서울특별시 서초구 방배로 88, 2층 202호 (방배동)",의원,F,점심시간 13-14시,점심시간 13~14시,방배역 4번출구,늘푸른이비인후과의원,02-597-4024,02-490-2113,09:00~18:30,09:00~13:00,09:00~15:00,09:00~15:00,126.9973905,37.48235353,이비인후과
A1103378,"서울특별시 용산구 독서당로 67 (한남동, 이춘근치과의원)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",한남오거리 성아아파트 맞은편,다나의원,02-749-5009,02-490-2113,09:00~17:30,09:00~16:00,09:00~17:00,10:00~17:00,127.008129,37.53383436,"내과,안과,이비인후과,정형외과,피부과"
A1120377,"서울특별시 중랑구 공릉로2길 13, 도림빌딩 2층 (묵동)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",한남오거리 성아아파트 맞은편,다나의원,02-977-8786,02-490-2113,09:00~19:00,09:00~13:00,09:00~17:00,10:00~17:00,127.0787424,37.61221168,가정의학과
A1104311,"서울특별시 강서구 금낭화로 91-2, 402호 (방화동, 대승프라자)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",방화사거리에서 국민은행 맞은 편.,다나이비인후과의원,02-2664-7487,02-490-2113,09:00~18:40,09:00~14:00,09:00~17:00,10:00~17:00,126.8110428,37.57368465,내과
A1119448,"서울특별시 금천구 벚꽃로 298, 221호 (가산동, 대륭포스트타워6차)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",방화사거리에서 국민은행 맞은 편.,다나이비인후과의원,02-852-0125,02-490-2113,08:30~19:30,09:00~14:00,09:00~17:00,10:00~17:00,126.8838721,37.48143873,내과
A1103830,"서울특별시 강북구 도봉로 324, 4층 (번동, 글로리타워)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",수유역 4번출구에서 온누리약국 4층,다나이비인후과의원,02-991-5582,02-490-2113,09:00~19:00,09:00~14:00,09:00~17:00,10:00~17:00,127.0248833,37.63675556,내과
A1100569,"서울특별시 마포구 큰우물로 53, 302호 (염리동)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",염리생활체육관 맞은편,다나이비인후과의원,02-702-5075,02-490-2113,09:00~18:30,09:00~13:00,09:00~17:00,10:00~17:00,126.9446317,37.54228979,내과
A1103628,"서울특별시 광진구 천호대로 527, 4,5층 (중곡동)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",군자역 1번출구,다남재활의학과의원,02-467-5728,02-490-2113,09:00~18:00,09:00~13:30,09:30~14:00,09:30~14:00,127.077314,37.55839813,정형외과
A1102152,"서울특별시 성동구 성수이로 113, 5층 (성수동2가, 제강빌딩)",의원,F,수요일 예약진료,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",성수역2번출구/제강빌딩 5층,다니엘의원,02-3409-1515,02-490-2113,09:00~20:30,09:00~16:00,09:30~14:00,09:30~14:00,127.0570723,37.54511451,가정의학과
A1117186,"서울특별시 용산구 보광로 54, 중하빌딩 4층 (보광동)",의원,F,점심시간 13:00~14:00,미용성형 위주,길동역 2번출구에서 핸드폰가게 4층 위치,훼미리365의원,02-6205-6560,02-2600-0777,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,126.9987601,37.5288274,내과
A1103249,서울특별시 강남구 테헤란로26길 10,의원,F,점심시간 13:00~14:00,부인과검진은공단검진만,10층 일부,네오비뇨기과의원,02-561-6575,02-2260-7414,09:30~19:00,09:30~15:00,09:00~17:00,09:30~14:00,127.0358371,37.49963856,피부과
A1123660,"서울특별시 강남구 압구정로 162, 베네하임시티 4층 401,402,403,404,407호 (신사동)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",신월7동 주민센터 인근 KEB하나은행 건물 내,다리핏의원,02-545-5101,02-490-2113,10:00~19:00,10:00~15:00,09:30~14:00,09:30~14:00,127.027466,37.5263097,가정의학과
A1105332,"서울특별시 노원구 노해로 492, 6층 (상계동, 프린스빌딩)",의원,F,점심시간 13:00~14:00,일반진료/수술,노원역 5번 출구,노원빛사랑안과의원,02-952-4200,02-2260-7414,09:00~18:00,09:00~16:00,09:00~17:00,09:00~13:00,127.0626769,37.65445591,안과
A1116503,서울특별시 영등포구 여의대방로 375 (여의도동),의원,F,매월 둘째주 토요일 휴일,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",샛강역 2번출구,다미산부인과의원,02-761-3072,02-490-2113,09:30~19:00,09:30~15:00,09:30~14:00,09:30~14:00,126.930731,37.51892851,내과
A1103509,"서울특별시 송파구 올림픽로 116, 4층 (잠실동)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",신천역 4번출구 하나은행 인근,다미신경정신과의원,02-419-0152,02-490-2113,10:00~18:00,10:00~14:00,09:30~14:00,09:30~14:00,127.0835139,37.51140424,내과
A1120788,"서울특별시 마포구 마포대로 173-14, 마포 센텀 슬로우스퀘어 2층 205~207호 (아현동)",의원,F,점심시간 13:00~14:00,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",신천역 4번출구 하나은행 인근,다미의원,02-364-3323,02-490-2113,10:00~19:00,10:00~15:00,09:30~14:00,09:30~14:00,126.9536243,37.55099732,피부과
A1103234,"서울특별시 영등포구 여의대방로 375, 9층 (여의도동, 아일렉스타워)",의원,F,평일 13:00-14:00 휴게시간,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",kbs 별관,다미의원,02-761-1188,02-490-2113,10:00~19:00,10:00~15:00,09:30~14:00,09:30~14:00,126.9307645,37.51895055,피부과
A1101262,"서울특별시 동작구 사당로 219, 3층 (사당동)",의원,F,평일 13:00-14:00 휴게시간,"잠실(삼전동)에 위치한 어깨,허리,무릎 통증 전문병원",남성역 4번출구/,다미의원,02-532-1332,02-490-2113,10:00~19:00,10:30~13:30,09:30~14:00,09:30~14:00,126.9726743,37.48417764,피부과
A1120832,"서울특별시 동대문구 왕산로 193, 6층, 7층 (청량리동)",의원,F,점심시간 13:00-14:00시 평일수술: 12:00~13:00시(수술 없으면 정상진료) 토요일수술: 12:00~14:00시(수술 없으면 정상진료),"백내장/ 녹내장/ 망막질환/ 사시(소아안과)/ 안검하수, 안검내외반, 눈물길수술",학동역 7번출구,다보는성모안과의원,02-964-5235,02-490-2113,09:00~18:00,09:00~14:00,09:30~17:00,09:30~17:00,127.0445326,37.58022634,안과
A1100539,서울특별시 강동구 천호대로 1124 (성내동),의원,F,"1,3,5주 토요일 휴진/점심시간 13:00~14:00","백내장/ 녹내장/ 망막질환/ 사시(소아안과)/ 안검하수, 안검내외반, 눈물길수술",우림시장 오거리,다사랑산부인과의원,02-484-0868,02-490-2113,09:00~18:00,09:00~13:00,09:30~17:00,09:30~17:00,127.1361906,37.53433509,"가정의학과,내과"
A1102339,"서울특별시 노원구 화랑로 321 , 2층 (월계동, 건안빌딩)",의원,F,평일 13:00-14:00 휴게시간,"백내장/ 녹내장/ 망막질환/ 사시(소아안과)/ 안검하수, 안검내외반, 눈물길수술",선한이웃병원근처,다사랑산부인과의원,02-912-2518,02-490-2113,09:30~17:00,09:30~12:00,09:30~17:00,09:30~17:00,127.063536,37.61459585,가정의학과
A1120929,"서울특별시 마포구 월드컵로 80, 3층 (서교동, 아침뜨락빌딩)",의원,F,"접수마감시간은 평일 30분전, 토요일은 1시간전까지 입니다.","백내장/ 녹내장/ 망막질환/ 사시(소아안과)/ 안검하수, 안검내외반, 눈물길수술",홈플러스 맞은편,다사랑의원,1599-4611,02-490-2113,09:30~19:00,09:30~13:00,09:30~17:00,09:30~17:00,126.9104473,37.55620186,내과
A1123655,"서울특별시 강남구 봉은사로73길 5, 3층 (삼성동)",의원,F,점심시간 13:00~14:00,"점심시간-12:30~13:00 토요일,공휴일 진료없음",총신대입구역 1번 출구,다소니의원,02-6497-5200,02-490-2113,09:30~18:00,09:30~13:00,09:30~17:00,09:30~15:00,127.0506788,37.51280959,가정의학과
A1105070,"서울특별시 성북구 한천로78길 53, 2층 (석관동, 다솜빌딩)",의원,F,점심시간 13:00~14:00,"점심시간-12:30~13:00 토요일,공휴일 진료없음",전농sk아파트 맡은편,다솜연세가정의학과의원,02-968-5888,02-490-2113,10:00~17:00,09:30~15:00,09:30~17:00,09:30~15:00,127.0646399,37.61283653,가정의학과
A1103561,"서울특별시 노원구 동일로 1677, 6층 (상계동)",의원,F,"평일30분, 토요일1시간 전 접수마감/점심시간 13:00~14:00","점심시간-12:30~13:00 토요일,공휴일 진료없음",수락산역5번출구 앞 제성빌딩 6층,다솜이비인후과의원,02-937-5111,02-490-2113,09:00~18:30,09:00~15:00,09:30~17:00,09:30~15:00,127.0549703,37.67818437,가정의학과
A1123601,"서울특별시 광진구 능동로 69, 2층 202,203호 (자양동, 자양 호반써밋)",의원,F,점심시간: 13시~14시,"점심시간-12:30~13:00 토요일,공휴일 진료없음",성현동 주민센터 인근,다시봄날의원,02-543-7757,02-490-2113,10:00~19:00,10:00~19:00,10:00~19:00,09:00~15:00,127.0689943,37.53784123,가정의학과
A1122816,"서울특별시 강서구 마곡중앙8로 85, 파인스퀘어Ⅱ 3층 (마곡동)",의원,F,점심시간: 13시~14시,"점심시간-12:30~13:00 토요일,공휴일 진료없음",성현동 주민센터 인근,다시봄날의원,02-6925-2090,02-490-2113,10:00~20:30,10:00~17:00,10:00~19:00,09:00~15:00,126.8369855,37.56112553,가정의학과
A1115508,"서울특별시 성북구 동소문로20가길 12, 3층, 4층 (동선동1가)",의원,F,점심시간 12:30~13:30,"점심시간-12:30~13:00 토요일,공휴일 진료없음",성신여대입구역 1번 출구,다시봄날의원,02-928-5678,02-490-2113,10:00~20:00,10:00~15:00,10:00~19:00,09:00~15:00,127.0171112,37.59225995,가정의학과
A1120520,"서울특별시 서초구 서초대로77길 24, 강남 지웰타워2 10층 (서초동)",의원,F,점심시간 12:30~13:30,"점심시간-12:30~13:00 토요일,공휴일 진료없음",성신여대입구역 1번 출구,다시봄날의원,02-555-0018,02-490-2113,10:00~20:00,10:00~17:00,10:00~19:00,09:00~15:00,127.0259925,37.50002126,가정의학과
A1122937,"서울특별시 서초구 서초중앙로 130, 9층 (서초동)",의원,F,점심시간 12:30~13:30,"점심시간-12:30~13:00 토요일,공휴일 진료없음",성신여대입구역 1번 출구,다시봄안과의원,02-583-1299,02-490-2113,09:30~19:00,09:30~13:30,10:00~19:00,09:00~15:00,127.014095,37.49326212,안과
A1119231,"서울특별시 강북구 도봉로 260, 303호 (미아동, 운산빌딩)",의원,F,13~14시 점심시간,"점심시간-12:30~13:00 토요일,공휴일 진료없음",명륜제일교회 인근,다예의원,02-980-6699,02-490-2113,09:30~18:30,09:00~13:00,10:00~19:00,09:00~15:00,127.0244251,37.63170757,피부과
A1120947,"서울특별시 은평구 서오릉로 134, 메디칼 3층 (대조동)",의원,F,점심시간 13:00~14:00,"점심시간-12:30~13:00 토요일,공휴일 진료없음",미아사거리역 6번출구 송천동 우체국인근,다온삼성정형외과의원,02-6952-5005,02-490-2113,09:00~19:00,09:00~15:00,10:00~19:00,09:00~15:00,126.9181194,37.61101303,가정의학과
A1116848,"서울특별시 송파구 송파대로 382, 3층 (송파동, 송파두성빌딩)",의원,F,13:00~14:00 휴게시간,"점심시간-12:30~13:00 토요일,공휴일 진료없음",송파두성빌딩 6층,다온의원,02-424-2048,02-490-2113,10:00~19:00,10:00~16:00,10:00~19:00,09:00~15:00,127.1106904,37.50187878,피부과
A1119590,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오 하비오타워 법조대로 205동 401~419호)",의원,F,점심시간 14:00~15:00,"점심시간-12:30~13:00 토요일,공휴일 진료없음",독산역 2번 출구,다온헬스케어의원,02-6941-0101,02-490-2113,08:00~17:00,08:00~13:00,10:00~19:00,09:00~15:00,127.1228135,37.48163336,"가정의학과,내과,안과,이비인후과,정형외과,피부과"
A1102497,"서울특별시 구로구 경인로 572, 스타팰리스 4층 (구로동)",의원,F,점심시간 12:30~13:30,"점심시간-12:30~13:00 토요일,공휴일 진료없음",구로역 2번출구/,다올항외과의원,02-2672-8275,02-490-2113,09:30~18:30,09:30~13:30,10:00~19:00,09:00~15:00,126.8810833,37.50330519,내과
A1122110,"서울특별시 강남구 강남대로 388, 강남센타빌딩 8층 (역삼동)",의원,F,평일 14:00-15:00 휴게시간,"점심시간-12:30~13:00 토요일,공휴일 진료없음",구로역 2번출구/,다움성형외과의원,02-538-5045,02-490-2113,10:00~19:00,10:00~16:00,10:00~19:00,09:00~15:00,127.0284225,37.49744958,피부과
A1123174,"서울특별시 마포구 상암산로 76, YTN 뉴스퀘어 지하1층 일부호 (상암동)",의원,F,점심시간 13:00~14:00 수요일 저녁시간 18:30~19:00,"점심시간-12:30~13:00 토요일,공휴일 진료없음","샛강역 4번출구, 여의도자이 501/203",다이아비뇨의학과의원,02-6375-9000,02-490-2113,09:30~19:00,10:00~13:00,10:00~19:00,09:00~15:00,126.8923145,37.57919435,내과
A1120556,"서울특별시 용산구 한강대로 287, 2층 (갈월동)",의원,F,13:00~14:00 휴게시간,"점심시간-12:30~13:00 토요일,공휴일 진료없음","샛강역 4번출구, 여의도자이 501/203",다이아산부인과의원,02-713-2226,02-490-2113,10:00~19:00,10:00~14:00,10:00~19:00,09:00~15:00,126.9719373,37.54390682,가정의학과
A1103673,서울특별시 강서구 강서로 52 (화곡동),의원,F,월수금 점심시간 13:00~14:30,"점심시간-12:30~13:00 토요일,공휴일 진료없음",까치산역 1번출구 5층,다인이비인후과의원,02-2606-9393,02-490-2113,09:00~18:30,09:00~14:00,10:00~19:00,09:00~15:00,126.8466222,37.53251667,"내과,안과,이비인후과,정형외과,피부과"
A1123383,"서울특별시 강동구 양재대로 1377, 삼원빌딩 308-310호 (성내동)",의원,F,월수금 점심시간 13:00~14:30,"점심시간-12:30~13:00 토요일,공휴일 진료없음",까치산역 1번출구 5층,다인정형외과의원,02-486-5550,02-490-2113,09:00~19:00,09:00~13:00,10:00~19:00,09:00~15:00,127.1362621,37.52922273,내과
A1104186,"서울특별시 강남구 압구정로50길 8, 3층 (신사동)",의원,F,점심시간13:00~14:00,일반진료/피부미용/화상/접수는 마감1시간 전,압구정로데오역 6번 출구,다인피부과의원,02-542-0080,02-490-2113,10:00~18:30,10:00~16:00,10:00~22:00,09:00~15:00,127.0380303,37.52779054,피부과
A1119971,"서울특별시 강서구 양천로 31, 2층 (방화동)",의원,F,점심시간13:00~14:00,산부인과 여의사 원장이 진료하는 다정산부인과입니다.,장한평역 3번출구,다정의원,02-2663-2030,02-490-2113,09:00~18:30,09:00~13:00,10:00~22:00,09:00~15:00,126.8073386,37.57292003,내과
A1117540,"서울특별시 관악구 보라매로 4, 2층 (봉천동)",의원,F,점심시간:13~14시,산부인과 여의사 원장이 진료하는 다정산부인과입니다.,장한평역 3번출구,다정이비인후과의원,02-872-5050,02-490-2113,09:00~18:30,09:00~14:00,10:00~22:00,09:00~15:00,126.9279806,37.48996134,내과
A1118715,"서울특별시 영등포구 의사당대로 97, 2,4층 (여의도동, 교보증권빌딩)",의원,F,점심시간 12:30~14:00,"척추,관절 비수술 병원, 도수치료전문병원입니다.",여의도역 4번 출구 교보증권 빌딩,다통한여의도의원,02-6365-1234,02-490-2113,09:00~19:30,09:00~15:00,10:00~22:00,09:00~15:00,126.9245873,37.52251434,가정의학과
A1116207,"서울특별시 강남구 언주로 329, 3층 (역삼동)",의원,F,대체공휴일에는 9:00~16:00   근무입니다.,"척추,관절 비수술 병원, 도수치료전문병원입니다.",여의도역 4번 출구 교보증권 빌딩,다편한정형외과의원,02-6959-9887,02-490-2113,09:00~20:00,09:00~16:00,10:00~22:00,09:00~16:00,127.0448949,37.49722247,가정의학과
A1116261,"서울특별시 관악구 남부순환로161길 70, 2층 (신림동)",의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",신사동 주민센터 인근,닥터강이비인후과의원,02-859-7582,02-490-2113,09:00~18:30,09:00~15:00,09:00~15:00,09:00~16:00,126.9187316,37.48534939,내과
A1106381,"서울특별시 강북구 도봉로 30, 6층 601호 (미아동, 에코피아빌딩)",의원,F,접수는 2시간 전에 마감,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",미아사거리역 3번 출구 에코피아빌딩 601호,닥터고운선의원,02-988-9881,02-490-2113,10:00~21:00,10:00~17:00,09:00~15:00,09:00~16:00,127.0307293,37.61162849,가정의학과
A1123017,"서울특별시 강남구 삼성로 776, 신도빌딩 5층 (청담동)",의원,F,점심 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",미아사거리역 3번 출구 에코피아빌딩 601호,닥터구의원,02-518-8805,02-490-2113,00:00~01:01,09:30~14:00,09:00~15:00,09:00~16:00,127.0478815,37.52380561,내과
A1103520,"서울특별시 강남구 압구정로 140, 현대빌딩 2층 (신사동)",의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",현대고등학교 맞은편,닥터김가정의학과의원,25422684,02-490-2113,09:00~18:00,09:00~15:00,09:00~15:00,09:00~16:00,127.0239931,37.52466252,가정의학과
A1120433,"서울특별시 송파구 올림픽로 491, 세제빌딩 4층,9층 (풍납동)",의원,F,점심시간 13:00~14:00,"점심시간-12:30~13:00 토요일,공휴일 진료없음",전농sk아파트 맡은편,다솜의원,02-485-1670,02-490-2113,10:00~18:00,10:00~13:00,09:30~17:00,09:30~15:00,127.1175686,37.52636502,내과
A1104409,"서울특별시 노원구 노원로 331, 203호 (중계동, 목련아파트 단지내상가)",의원,F,공휴일 진료는 전화확인 후 방문 필요,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",목련아파트 단지 상가,닥터김의원,02-978-5519,02-490-2113,09:00~18:00,09:00~15:00,09:00~15:00,09:00~12:30,127.06897,37.64668097,내과
A1118492,"서울특별시 은평구 은평로 123, 2층 202호 (응암동, 응암아네스트)",의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",목련아파트 단지 상가,닥터나인의원,02-358-9909,02-490-2113,10:00~19:00,10:00~15:00,09:00~15:00,09:00~12:30,126.921519,37.60055305,가정의학과
A1120164,"서울특별시 서초구 서초대로65길 13-10, 2층 211호 (서초동, 서초래미안아파트)",의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",신사역 5번 출구,닥터디아이타의원,02-596-2110,02-490-2113,09:30~18:00,09:00~16:00,09:00~15:00,09:00~12:30,127.0191522,37.49742766,가정의학과
A1123541,"서울특별시 마포구 양화로 162, 좋은사람들 빌딩 8층 (동교동)",의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",신사역 5번 출구,닥터디자이너의원,02-6953-5871,02-490-2113,10:00~21:00,10:00~17:00,09:00~15:00,09:00~12:30,126.9238714,37.55642986,가정의학과
A1123079,"서울특별시 송파구 올림픽로 240, 롯데호텔월드 지하1층 일부호 (잠실동)",의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",신사역 5번 출구,닥터디자이너의원,02-2143-1016,02-490-2113,10:00~20:00,10:00~17:00,09:00~15:00,09:00~12:30,127.0981418,37.51130961,가정의학과
A1117701,"서울특별시 영등포구 경인로 870, 영등포 J&S 2층 (영등포동1가)",의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",신사역 5번 출구,닥터디자이너의원,02-3667-4842,02-490-2113,10:00~21:00,10:00~17:00,09:00~15:00,09:00~12:30,126.906335,37.51593488,가정의학과
A1102110,"서울특별시 강남구 테헤란로64길 20, 3층 (대치동,원동방빌딩)",의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",신사역 5번 출구,닥터로빈의원,02-552-9784,02-490-2113,10:00~19:00,10:00~15:00,09:00~15:00,09:00~12:30,127.0512637,37.50362062,내과
A1116872,서울특별시 노원구 노해로 490 (상계동),의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",신사역 5번 출구,닥터로피부과의원,02-937-0043,02-490-2113,10:00~19:00,10:00~16:00,09:00~15:00,09:00~12:30,127.062471,37.65450386,피부과
A1121798,"서울특별시 광진구 아차산로 373, 2층 (구의동, 원이빌딩)",의원,F,점심시간 13:00~14:00,"한방내과, 한방재활의학과, 한방부인과, 한방이비인후과, 한방소아과, 환자를 빛내주는 명품조연 다현한의원입니다.",신사역 5번 출구,닥터린의원,02-458-7500,02-490-2113,10:00~19:50,10:00~15:00,09:00~15:00,09:00~12:30,127.0840327,37.53701194,피부과
A1100531,서울특별시 강북구 삼양로27길 35-21 (미아동),의원,F,점심시간 13:00~14:00,"평일18시(토11:00,일12:00,공휴일11:30) 접수마감/수액처치O(주말X)/성인진료O/소아안질환O",미아삼거리역 롯데백화점에서 마을버스타고 삼양사거리 하차/,닥터맘소아청소년과의원,02-982-8678,02-490-2113,09:00~18:00,09:00~13:00,09:00~15:00,09:00~13:00,127.0189339,37.61797753,"내과,안과,이비인후과,정형외과,피부과"
A1121617,"서울특별시 강남구 봉은사로 108, 10층 (역삼동)",의원,F,점심시간 13:00~14:00,"평일18시(토11:00,일12:00,공휴일11:30) 접수마감/수액처치O(주말X)/성인진료O/소아안질환O",미아삼거리역 롯데백화점에서 마을버스타고 삼양사거리 하차/,닥터망고의원,02-6956-8880,02-490-2113,10:00~19:30,10:00~16:00,09:00~15:00,09:00~13:00,127.0255915,37.50453358,피부과
A1123713,"서울특별시 서초구 강남대로 415, 대동빌딩 13층 (서초동)",의원,F,점심시간 13:00~14:00,"평일18시(토11:00,일12:00,공휴일11:30) 접수마감/수액처치O(주말X)/성인진료O/소아안질환O",미아삼거리역 롯데백화점에서 마을버스타고 삼양사거리 하차/,닥터미성형외과의원,02-6258-8880,02-490-2113,10:00~19:00,10:00~16:00,09:00~15:00,09:00~13:00,127.0263398,37.4995604,피부과
A1105942,"서울특별시 강남구 논현로175길 15, 3~4층 (신사동)",의원,F,점심시간 13:00~14:00,"평일18시(토11:00,일12:00,공휴일11:30) 접수마감/수액처치O(주말X)/성인진료O/소아안질환O",참빌딩 2층,닥터미소의원,02-3478-2580,02-490-2113,10:00~19:30,10:00~16:00,09:00~15:00,09:00~13:00,127.0274088,37.52586173,피부과
A1117224,"서울특별시 강남구 테헤란로92길 14 (대치동, 동우리빌딩 지하1층)",의원,F,2.4주 토요일 휴무,"평일18시(토11:00,일12:00,공휴일11:30) 접수마감/수액처치O(주말X)/성인진료O/소아안질환O",역촌119안전센터 인근,닥터밸리의원,02-3452-8877,02-490-2113,10:00~18:30,10:00~13:00,09:00~15:00,09:00~13:00,127.0611465,37.50703253,가정의학과
